gallery_name,gallery_homepage,gallery_events,gallery_about,address,opening_hours,instagram,facebook,manually checked
Pracownia Duży Pokój,https://www.duzypokoj.org/,n/a,https://www.duzypokoj.org/misja/,"ul. Warecka 4/6, 00-040 Warszawa","Czwartek - Niedziela: 15:00-19:00
Poniedziałek - Środa: nieczynne",https://www.instagram.com/duzypokoj/,https://www.facebook.com/pracowniaduzypokoj,✅
R2OT,https://www.r2ot.com/,https://www.r2ot.com/pages/our-exhbitions,https://www.r2ot.com/pages/our-story,"ul.Wilcza 2/4, lok.5, Warszawa","Wtorek - Sobota: 11:00 - 19:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/_r2ot_/,https://www.facebook.com/people/R2OT/61566412019484/,✅
Raster Gallery,https://en.rastergallery.com/,https://en.rastergallery.com/wystawy/,https://en.rastergallery.com/galeria/historia/o-galerii/,"ul. Wspólna 63, 00-687 War­szawa","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/raster_gallery/,https://www.facebook.com/rastergallery,✅
Skowronscy Art Gallery,https://www.soagallery.pl/en/home/,https://www.soagallery.pl/en/category/events/,https://www.soagallery.pl/en/about-gallery/,"ul. Grzybowska 30/U5, 00-863 Warsaw","Wtorek - Sobota: 11:00 - 19:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/soa_artgallery/,n/a,✅
Śmierć Człowieka,https://smierc.cz/,n/a,n/a,"Dworzec Śródmieście, Peron 3, lokal przy szyldzie WARSZAWA ŚRÓDMIEŚCIE
Al. Jerozolimskie 50, 00-024 Warszawa","Wtorek: 16:00 - 20:00
Środa: nieczynne
Czwartek - Piątek: 16:00 - 20:00
Sobota: 12:00 - 16:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/smiercczlowieka/?hl=en,https://www.facebook.com/smiercczlowieka/?ref=_xav_ig_profile_page_web#,✅
Stereo Gallery,https://galeriastereo.pl/,https://galeriastereo.pl/exhibitions/,https://galeriastereo.pl/informations/,"ul. Tamka 37/1 (Intercom: 1)
00-355 Warszawa","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/stereo_warsaw/,https://www.facebook.com/p/Galeria-Stereo-100022757485875/,✅
Szydłowski Gallery,https://www.szydlowski.gallery/,https://www.szydlowski.gallery/,https://www.szydlowski.gallery/about,"ul. Nowolipie 13/15, 00-150 Warszawa, Poland",Środa - Sobota: 12:00 - 18:00,https://www.instagram.com/szydlowskigallery,https://www.facebook.com/szydlowskigallery,✅
TBA Gallery,https://tbagallery.com/,n/a,https://www.vogue.pl/a/tba-to-nowa-galeria-sztuki-wspolczesnej-w-warszawie,"ul. Wilcza 62
Warsaw, Poland","Wtorek - Sobota: 12:00 - 19:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/tba_gallery,https://www.facebook.com/tba.artgallery,✅
Turnus,https://turnus.fun/,https://turnus.fun/exhibitions,https://turnus.fun/about,"ul. Wolska 46/48, 01-187 Warsaw",Poniedziałek - Niedziela: 10:00 - 22:00,https://www.instagram.com/turnus.gallery/,https://www.facebook.com/turnustwojegozycia,✅
WHOISPOLA,https://whoispola.com/,https://whoispola.com/exhibitions,n/a,"Londyńska 13, 03-922 Warszawa","Czwartek - Sobota: 13.00–18.00
Niedziela - Środa: nieczynne",https://www.instagram.com/whoispolagallery/,/,✅
